"Codgeo";"ZInter_fact_40000"
"01341";"Reg_84_78"
"01342";"Reg_84_85"
"01343";"Reg_I7_4"
"01344";"Reg_84_52"
"01345";"Reg_84_55"
"01346";"Reg_I7_17"
"01347";"Reg_I7_14"
"01348";"Reg_I7_9"
"01349";"Reg_84_85"
"01350";"Reg_I7_17"
"01351";"Reg_I7_9"
"01352";"Reg_I7_4"
"01353";"Reg_I7_14"
"01354";"Reg_I7_6"
"01355";"Reg_I7_17"
"01356";"Reg_I7_14"
"01357";"Reg_I7_13"
"01358";"Reg_84_11"
"01359";"Reg_I7_14"
"01360";"Reg_I7_3"
"01361";"Reg_84_83"
"01362";"Reg_84_85"
"01363";"Reg_84_86"
"01364";"Reg_I7_4"
"01365";"Reg_I7_4"
"01366";"Reg_84_55"
"01367";"Reg_I7_4"
"01368";"Reg_I7_4"
"01369";"Reg_I7_17"
"01370";"Reg_I7_15"
"01371";"Reg_84_85"
"01372";"Reg_84_78"
"01373";"Reg_I7_13"
"01374";"Reg_I7_17"
"01375";"Reg_I7_17"
"01376";"Reg_84_83"
"01378";"Reg_84_83"
"01379";"Reg_84_55"
"01380";"Reg_I7_1"
"01381";"Reg_84_86"
"01382";"Reg_84_85"
"01383";"Reg_84_86"
"01384";"Reg_84_11"
"01385";"Reg_84_86"
"01386";"Reg_84_11"
"01387";"Reg_I7_17"
"01388";"Reg_I7_1"
"01389";"Reg_I7_14"
"01390";"Reg_84_55"
"01391";"Reg_I7_1"
"01392";"Reg_I7_13"
"01393";"Reg_I7_14"
"01396";"Reg_84_11"
"01397";"Reg_I7_6"
"01398";"Reg_84_85"
"01399";"Reg_I7_6"
"01400";"Reg_84_11"
"01401";"Reg_I7_6"
"01402";"Reg_I7_1"
"01403";"Reg_84_11"
"01404";"Reg_I7_17"
"01405";"Reg_84_86"
"01406";"Reg_I7_4"
"01407";"Reg_84_56"
"01408";"Reg_I7_17"
"01410";"Reg_I7_13"
"01411";"Reg_84_11"
"01412";"Reg_I7_14"
"01413";"Reg_84_56"
"01414";"Reg_84_78"
"01415";"Reg_84_78"
"01416";"Reg_84_11"
"01417";"Reg_84_78"
"01418";"Reg_84_83"
"01419";"Reg_I7_6"
"01420";"Reg_I7_9"
"01421";"Reg_84_11"
"01422";"Reg_I7_17"
"01423";"Reg_I7_14"
"01424";"Reg_84_83"
"01425";"Reg_I7_17"
"01426";"Reg_I7_17"
"01427";"Reg_84_36"
"01428";"Reg_I7_9"
"01429";"Reg_84_86"
"01430";"Reg_84_86"
"01431";"Reg_84_11"
"01432";"Reg_I7_1"
"01433";"Reg_I7_4"
"01434";"Reg_84_85"
"01435";"Reg_I7_6"
"01436";"Reg_I7_6"
"01437";"Reg_I7_4"
"01439";"Reg_I7_4"
"01441";"Reg_I7_13"
"01442";"Reg_84_78"
"01443";"Reg_84_86"
"01444";"Reg_84_11"
"01445";"Reg_I7_17"
"01446";"Reg_84_85"
"01447";"Reg_I7_17"
"01448";"Reg_I7_3"
"01449";"Reg_84_86"
"01450";"Reg_84_86"
"01451";"Reg_I7_17"
"01452";"Reg_84_78"
"01453";"Reg_84_78"
"01454";"Reg_84_78"
"01456";"Reg_84_78"
"01457";"Reg_I7_17"
"02001";"Reg_32_18"
"02002";"Reg_32_72"
"02003";"Reg_32_80"
"02004";"Reg_I1_17"
"02005";"Reg_I1_37"
"02006";"Reg_I1_17"
"02007";"Reg_I1_13"
"02008";"Reg_I1_59"
"02009";"Reg_32_72"
"02010";"Reg_32_80"
"02011";"Reg_32_80"
"02012";"Reg_32_80"
"02013";"Reg_I1_17"
"02014";"Reg_32_18"
"02015";"Reg_32_80"
"02016";"Reg_32_72"
"02017";"Reg_32_72"
"02018";"Reg_I1_59"
"02019";"Reg_32_18"
"02020";"Reg_I1_17"
"02021";"Reg_I1_17"
"02022";"Reg_32_80"
"02023";"Reg_I1_49"
"02024";"Reg_I1_13"
"02025";"Reg_32_78"
"02027";"Reg_32_72"
"02028";"Reg_I1_59"
"02029";"Reg_32_78"
"02030";"Reg_32_70"
"02031";"Reg_I1_17"
"02032";"Reg_32_78"
"02033";"Reg_I1_13"
"02034";"Reg_32_80"
"02035";"Reg_I1_17"
"02036";"Reg_32_80"
"02037";"Reg_I1_13"
"02038";"Reg_I1_17"
"02039";"Reg_I1_17"
"02040";"Reg_I1_17"
"02041";"Reg_32_18"
"02042";"Reg_I1_5"
"02043";"Reg_32_80"
"02044";"Reg_I1_17"
"02046";"Reg_I1_13"
"02047";"Reg_I1_13"
"02048";"Reg_I1_13"
"02049";"Reg_32_72"
"02050";"Reg_32_22"
"02051";"Reg_I1_16"
"02052";"Reg_32_80"
"02053";"Reg_I1_16"
"02054";"Reg_I1_13"
"02055";"Reg_I1_17"
"02056";"Reg_32_18"
"02057";"Reg_32_71"
"02058";"Reg_I1_13"
"02059";"Reg_32_72"
"02060";"Reg_32_78"
"02061";"Reg_32_71"
"02062";"Reg_I1_5"
"02063";"Reg_32_71"
"02064";"Reg_32_14"
"02065";"Reg_32_71"
"02066";"Reg_32_71"
"02067";"Reg_32_22"
"02068";"Reg_I1_17"
"02069";"Reg_I1_17"
"02070";"Reg_I1_17"
"02071";"Reg_32_80"
