"Codgeo";"ZInter_fact70_40000"
"01361";"Reg_84_37"
"01362";"Reg_I6_19"
"01363";"Reg_I6_15"
"01364";"Reg_I6_4"
"01365";"Reg_I6_4"
"01366";"Reg_84_55"
"01367";"Reg_I6_4"
"01368";"Reg_I6_4"
"01369";"Reg_I6_20"
"01370";"Reg_I6_16"
"01371";"Reg_I6_19"
"01372";"Reg_84_11"
"01373";"Reg_I6_15"
"01374";"Reg_I6_20"
"01375";"Reg_I6_20"
"01376";"Reg_84_37"
"01378";"Reg_84_37"
"01379";"Reg_84_55"
"01380";"Reg_I6_14"
"01381";"Reg_I6_20"
"01382";"Reg_I6_19"
"01383";"Reg_I6_20"
"01384";"Reg_84_11"
"01385";"Reg_I6_20"
"01386";"Reg_84_11"
"01387";"Reg_I6_20"
"01388";"Reg_I6_14"
"01389";"Reg_I6_6"
"01390";"Reg_84_55"
"01391";"Reg_I6_14"
"01392";"Reg_I6_15"
"01393";"Reg_I6_6"
"01396";"Reg_84_11"
"01397";"Reg_I6_9"
"01398";"Reg_I6_19"
"01399";"Reg_I6_9"
"01400";"Reg_84_11"
"01401";"Reg_I6_9"
"01402";"Reg_I6_14"
"01403";"Reg_84_11"
"01404";"Reg_I6_20"
"01405";"Reg_I6_20"
"01406";"Reg_I6_4"
"01407";"Reg_84_56"
"01408";"Reg_I6_20"
"01410";"Reg_I6_15"
"01411";"Reg_84_11"
"01412";"Reg_I6_6"
"01413";"Reg_84_56"
"01414";"Reg_84_11"
"01415";"Reg_84_11"
"01416";"Reg_84_11"
"01417";"Reg_84_11"
"01418";"Reg_84_37"
"01419";"Reg_I6_9"
"01420";"Reg_I6_8"
"01421";"Reg_84_11"
"01422";"Reg_I6_20"
"01423";"Reg_I6_6"
"01424";"Reg_84_37"
"01425";"Reg_I6_20"
"01426";"Reg_I6_20"
"01427";"Reg_84_36"
"01428";"Reg_I6_8"
"01429";"Reg_I6_20"
"01430";"Reg_I6_15"
"01431";"Reg_84_11"
"01432";"Reg_I6_14"
"01433";"Reg_I6_4"
"01434";"Reg_I6_19"
"01435";"Reg_I6_9"
"01436";"Reg_I6_9"
"01437";"Reg_I6_4"
"01439";"Reg_I6_4"
"01441";"Reg_I6_15"
"01442";"Reg_84_11"
"01443";"Reg_I6_20"
"01444";"Reg_84_11"
"01445";"Reg_I6_20"
"01446";"Reg_I6_19"
"01447";"Reg_I6_20"
"01448";"Reg_I6_1"
"01449";"Reg_I6_20"
"01450";"Reg_I6_20"
"01451";"Reg_I6_20"
"01452";"Reg_84_11"
"01453";"Reg_84_11"
"01454";"Reg_84_11"
"01456";"Reg_84_11"
"01457";"Reg_I6_20"
"02001";"Reg_32_18"
"02002";"Reg_32_22"
"02003";"Reg_32_18"
"02004";"Reg_I1_15"
"02005";"Reg_I1_32"
"02006";"Reg_I1_15"
"02007";"Reg_I1_54"
"02008";"Reg_I1_54"
"02009";"Reg_32_22"
"02010";"Reg_32_18"
"02011";"Reg_32_18"
"02012";"Reg_32_18"
"02013";"Reg_I1_15"
"02014";"Reg_32_18"
"02015";"Reg_32_18"
"02016";"Reg_32_22"
"02017";"Reg_32_22"
"02018";"Reg_I1_54"
"02019";"Reg_32_18"
"02020";"Reg_I1_15"
"02021";"Reg_I1_15"
"02022";"Reg_32_18"
"02023";"Reg_I1_46"
"02024";"Reg_I1_54"
"02025";"Reg_32_22"
"02027";"Reg_32_22"
"02028";"Reg_I1_54"
"02029";"Reg_32_22"
"02030";"Reg_32_22"
"02031";"Reg_I1_15"
"02032";"Reg_32_22"
"02033";"Reg_I1_54"
"02034";"Reg_32_18"
"02035";"Reg_I1_15"
"02036";"Reg_32_18"
"02037";"Reg_I1_54"
"02038";"Reg_I1_15"
"02039";"Reg_I1_15"
"02040";"Reg_I1_15"
"02041";"Reg_32_18"
"02042";"Reg_I1_4"
"02043";"Reg_32_18"
"02044";"Reg_I1_15"
"02046";"Reg_I1_54"
"02047";"Reg_I1_54"
"02048";"Reg_I1_54"
"02049";"Reg_32_22"
"02050";"Reg_32_22"
"02051";"Reg_I1_14"
"02052";"Reg_32_18"
"02053";"Reg_I1_14"
"02054";"Reg_I1_46"
"02055";"Reg_I1_15"
"02056";"Reg_32_18"
"02057";"Reg_32_22"
"02058";"Reg_I1_54"
"02059";"Reg_32_22"
"02060";"Reg_32_22"
"02061";"Reg_32_22"
"02062";"Reg_I1_4"
"02063";"Reg_32_22"
"02064";"Reg_32_14"
"02065";"Reg_32_22"
"02066";"Reg_32_22"
"02067";"Reg_32_22"
"02068";"Reg_I1_15"
"02069";"Reg_I1_15"
"02070";"Reg_I1_15"
"02071";"Reg_32_18"
"02072";"Reg_I1_54"
"02073";"Reg_I1_32"
"02074";"Reg_32_22"
"02075";"Reg_32_22"
"02076";"Reg_I1_32"
"02077";"Reg_32_18"
"02078";"Reg_32_18"
"02079";"Reg_I1_15"
"02080";"Reg_I1_54"
"02081";"Reg_32_18"
"02082";"Reg_32_18"
"02083";"Reg_I1_46"
"02084";"Reg_I1_4"
"02085";"Reg_I1_46"
"02086";"Reg_32_18"
"02087";"Reg_32_18"
"02088";"Reg_I1_54"
"02089";"Reg_32_18"
"02090";"Reg_32_18"
"02091";"Reg_I1_46"
"02093";"Reg_32_18"
"02094";"Reg_I1_46"
"02095";"Reg_32_22"
"02096";"Reg_I1_54"
"02097";"Reg_I1_15"
"02098";"Reg_I1_4"
"02099";"Reg_I1_4"
"02100";"Reg_32_22"
"02101";"Reg_I1_15"
"02102";"Reg_I1_54"
"02103";"Reg_32_26"
"02104";"Reg_I1_20"
"02105";"Reg_I1_4"
"02106";"Reg_I1_46"
"02107";"Reg_32_18"
"02108";"Reg_I1_54"
"02109";"Reg_32_26"
"02110";"Reg_I1_46"
"02111";"Reg_32_18"
"02112";"Reg_32_22"
"02114";"Reg_I1_46"
"02115";"Reg_I1_46"
"02116";"Reg_I1_15"
"02117";"Reg_32_22"
"02118";"Reg_32_18"
"02119";"Reg_I1_46"
"02120";"Reg_32_18"
"02121";"Reg_I1_46"
"02122";"Reg_32_22"
"02123";"Reg_32_22"
"02124";"Reg_32_22"
"02125";"Reg_I1_4"
"02126";"Reg_I1_15"
"02127";"Reg_32_18"
"02128";"Reg_I1_54"
"02129";"Reg_I1_46"
"02130";"Reg_32_26"
"02131";"Reg_32_18"
"02132";"Reg_32_18"
"02133";"Reg_I1_54"
"02134";"Reg_32_26"
"02135";"Reg_32_26"
"02136";"Reg_I1_15"
"02137";"Reg_I1_4"
"02138";"Reg_32_18"
"02139";"Reg_32_18"
"02140";"Reg_32_18"
"02141";"Reg_32_26"
"02142";"Reg_32_22"
"02143";"Reg_32_22"
"02144";"Reg_32_22"
"02145";"Reg_32_18"
"02146";"Reg_I1_14"
"02148";"Reg_32_18"
"02149";"Reg_32_22"
"02150";"Reg_I1_46"
"02151";"Reg_32_18"
"02152";"Reg_32_18"
"02153";"Reg_32_18"
"02154";"Reg_32_18"
"02155";"Reg_I1_54"
"02156";"Reg_I1_54"
"02157";"Reg_I1_54"
"02158";"Reg_I1_46"
"02159";"Reg_32_18"
"02160";"Reg_I1_15"
"02162";"Reg_I1_46"
"02163";"Reg_I1_4"
"02164";"Reg_I1_46"
"02165";"Reg_32_22"
"02166";"Reg_I1_46"
"02167";"Reg_32_18"
"02168";"Reg_I1_46"
"02169";"Reg_I1_15"
"02170";"Reg_32_22"
"02171";"Reg_I1_54"
"02172";"Reg_32_18"
"02173";"Reg_32_18"
"02174";"Reg_I1_54"
"02175";"Reg_32_18"
"02176";"Reg_32_18"
"02177";"Reg_I1_54"
"02178";"Reg_I1_54"
"02179";"Reg_I1_46"
"02180";"Reg_I1_54"
"02181";"Reg_I1_15"
"02182";"Reg_I1_15"
"02183";"Reg_I1_54"
"02184";"Reg_32_22"
"02185";"Reg_I1_4"
"02186";"Reg_I1_4"
"02187";"Reg_I1_46"
"02188";"Reg_I1_15"
"02189";"Reg_I1_54"
"02190";"Reg_32_18"
"02191";"Reg_32_18"
"02192";"Reg_32_18"
"02193";"Reg_I1_14"
"02194";"Reg_I1_15"
"02195";"Reg_32_18"
"02196";"Reg_32_18"
"02197";"Reg_32_26"
"02198";"Reg_32_18"
"02199";"Reg_32_22"
"02200";"Reg_I1_15"
"02201";"Reg_32_18"
"02203";"Reg_I1_46"
"02204";"Reg_I1_15"
"02205";"Reg_I1_54"
"02206";"Reg_I1_15"
"02207";"Reg_32_18"
"02208";"Reg_I1_20"
"02209";"Reg_I1_14"
"02210";"Reg_32_18"
"02211";"Reg_I1_32"
"02212";"Reg_32_18"
"02213";"Reg_I1_14"
"02214";"Reg_32_22"
"02215";"Reg_I1_54"
"02216";"Reg_32_18"
"02217";"Reg_32_18"
"02218";"Reg_I1_54"
"02219";"Reg_32_18"
"02220";"Reg_I1_46"
"02221";"Reg_I1_4"
"02222";"Reg_32_22"
"02223";"Reg_I1_46"
"02224";"Reg_I1_46"
"02225";"Reg_I1_4"
"02226";"Reg_32_18"
"02227";"Reg_I1_14"
"02228";"Reg_I1_14"
"02229";"Reg_I1_54"
"02230";"Reg_32_18"
"02231";"Reg_I1_54"
"02232";"Reg_I1_17"
"02233";"Reg_32_18"
"02234";"Reg_I1_54"
"02235";"Reg_I1_54"
"02236";"Reg_32_18"
"02237";"Reg_I1_54"
